id,joke
"101","Why do bees have sticky hair?
They use honeycombs"
"102","What do you get when you cross the Atlantic with the Titanic?
About half way."
"103","What do you get if you cross a joke with a rhetorical question?"
"104","What cheese do you use to hide a horse?
Mascarpone!"
"105","What cheese do you use to get a bear out of a cave?  
Come on bear!"
"106","What cheese can never be yours?
Nacho cheese!"
"107","What's the difference between God and a doctor?
God knows he's not a doctor."
"108","What's the difference between ignorance and apathy?
I don't know and I don't care!"
"109","waiter waiter, there's a stick in my soup
Hold on sir, I'll get the branch manager."
"110","Waiter, waiter, will my pizza be long?
No sir, it will be round!"
"111","What's the problem with twin witches?
You can't tell which witch is which?"
"112","A man walked out of Asda, throwing eggs, milk, and cheese all over the place.
I thought: how dare he! (How dairy!)"
"113","A man in the supermarket threw cheese at me
how mature"
"114","Me and my husband were happy for 20 years! Then we met."
"115","Did you hear about the mathematician who’s afraid of negative numbers?
He’ll stop at nothing to avoid them"
"116","What’s the best thing about Switzerland?
I don’t know, but the flag is a big plus."
"117","A woman in labor suddenly shouted, “Shouldn’t! Wouldn’t! Couldn’t! Didn’t! Can’t!”
“Don’t worry,” said the doc. “Those are just contractions.”"
"118","Where are average things manufactured?
The satisfactory."
"119","Why did the scarecrow get a promotion?
He was outstanding in his field."
"120","What kind of exercise do lazy people do?
Diddly-squats."
"121","What do you do if you see a space man?  
Park in it, man!"
"122","A Scotsman and his wife walked past a swanky new restaurant. ""Did you smell that food?"" she asked. ""It's smells absolutely incredible!""  
Being a 'kind-hearted Scotsman', he thought, ""What the heck, I'll treat her!""  
So, they walked past it again."
"123","What are two things dinosaurs can't have for dinner?
Breakfast, and Lunch."
"124","Have you ever tried eating a clock? It's very time-consuming."
"125","What did the cannibal Doctor do with his patients?
He cured them."
"126","You know what I love? The rotation of the earth! It really makes my day! (Ba boom!)"
"127","What go you get if you cross an apple's circumference with its diameter?
Apple Pi."
"128","What's the best present for a musician?
A broken drum - you can't beat it!"
"129","I accidentally swallowed a lot of scrabble tiles!
My next trip to the bathroom could spell disaster!
(That would be a ""vowel movement""!)"
"130","Why does Wally always wear stripes?
Because he doesn't want to be spotted!"
"131","What's a frog's favourite drink?
Croakacola"
"132","What has 8 arms and tells time?
A clocktopus!"
"133","Who's the coolest person in the hospital?
The ultrasound guy.
What about on his day off?
The hip replacement guy."
"134","Riddle: What gets wetter as it dries?
A towel!"
"135","Riddle: What loses its head every morning, but gets it back every night?
A pillow."
"136","""Never Apologise! Never Explain!"" – Sorry, that’s my motto"
"137","What was Bethoven's favourite fruit?"
"138","Ba-na-na-NA!"
"139","I hate Russian dolls. They're so full of themselves."
"140","What's the difference between in-laws and outlaws?
Outlaws are wanted."
"141","How do you get a baby astronaut to sleep?
You rock it. (rocket)"
"142","How many opticians does it take to change a lightbulb?
Is it one or two? One... or two?"
"143","I wonder what a walrus vampire would look like... - demetri Martin"
"144","I wonder if leopards look trashy to other animals? - demetri Martin"
"145","How many tickles does it take to make an Octopus laugh?
A: Ten-tickles"
"146","Some people think it's romantic to carve their names on trees in the park while on a date.
I'm more worried about why they're bringing a knife on their date."
"147","How do you get two whales in a car?
Start in England and drive west."
"148","Why can't a tyrannosaurus clap? It's extinct!"
"149","Which side of a chicken has more feathers? The outside!"
"150","What is the cutest season? Awww-tumn"
"151","What type of dog is best at magic tricks?
A labracadabrador!"
"152","There used to be a street named after Chuck Norris, but it got changed.  
Because no-one crosses Chuck Norris and lives!"
"153","Do you know what an owl's favourite hip hop group is?
Whoot tang clan."
"154","What's bruce lee's favourite drink?
wataaaa!"
"155","Q: Why did the American Football coach shake the vending machine?
A: Because he wanted a quarter back."
"156","Who are the most decent people in the hospital? The ultrasound people.
What about when he's on holiday? The hip-replacement guy."
"157","Did you hear about the guy whose entire left side got chopped off?
He's alright now."
"158","I used to be a banker but I lost interest."
"159","Why did the chicken cross the road? To get to stupid's house.
Knock Knock! Who's there? Chicken. Chicken who? ..."
"160","Did you hear about the hungry clock?
It went back four seconds."
"161","Q: what do vegetarian zombies crave?
A: GRAAAIINNNNSSS!!"
"162","What has four wheels and flies?
A garbage truck."
"163","I've found a job helping a one-armed typist do capital letters.
It's shift work."
"164","I've just been fired from the clock-making factory...
after all those extra hours I put in!"
"165","I just got fired from a florist, apparently I took too many leaves."
"166","I work in an elevator. It has its ups and downs..."
"167","I got kicked out of the conga festival. I don't blame them - I was way out of line."
"168","I lost my job at the m&m factory for throwing out all the w's."
"169","I once got fired from orange-squash factory. Apparently I couldn’t concentrate."
"170","Did you hear about the human canonball? First day on the job, he was fired!"
"171","Whatever you do, always give 100%.
Unless you are donating blood"
"172","Q: How do you think the unthinkable?  
A: With an itheberg!"
"173","Groucho Marx: “I’ve had a wonderful time! ... But this wasn’t it.”"
"174","Did you hear about the German pessimist who hates sausage?
They say he fears the wurst."
"175","""Crime in multi-storey car parks. That is wrong on so many different levels."""
"176","Knock, knock. Who’s there? Interrupting pirate! Interrup… ARRRRRRRRRR!"
"177","What's long, brown, and sticky? A stick."
"178","What's E.T. short for? Because he's only got little legs."
"179","How many narcissists does it take to change a lightbulb?"
"180","Just one. All he has to do is hold it in place while the world revolves around him."
"181","Why are pirates? Because they arrrrrr!"
"182","Never date a tennis player. Love means nothing to them."
"183","""I was watching the London Marathon and saw one runner dressed as a chicken and another runner dressed as an egg. I thought: 'This could be interesting'."""
"184","Went to my allotment and found that there was twice as much soil as there was the week before. The plot thickens."
"185","What's orange and sounds like a parrot? A carrot."
"186","Did you hear about the cross eyed teacher? She couldn't control her pupils."
"187","How does the moon cut his hair?
'Eclipse it."
"188","What did the fish say when it swam into a wall?  
Dam!"
"189","What do you call a fish with no eyes? 
A fsh"
"190","What do you call a deer with no eyes? 
no idea"
"191","What do you call a deer with no eyes and no legs? 
still no idea"
"192","What do you call a pig with three eyes? 
Piiig"
"193","Why did the chicken get hit by a truck?
To get to the other side"
